No,Bulan,Jumlah Kebakaran,PBK (BP),PBK (PSR),PBK (BI),PBK (SC),PBK (BU),PBK (LN),PK (KP),PK (LP),PK (LS),PK (RK),PK (LN),JT (BP),JT (KIOS),JT (BI),JT (SC),JT (BU),JT (LN),Korban (MT),Korban (LK),Mobil Bertugas,Penggunaan Air PDAM (m3),Penggunaan Air Lain (m3),Areal Kebakaran (m2),Bangunan Terselamatkan,Taksiran Kerugian (Rp),,,,
1,Januari,5,2,-,2,-,1,-,1,-,2,-,2,3,-,2,-,-,1,-,-,34,324,-,2454,7,1795600000,,,,
2,Februari,7,4,-,1,-,-,2,1,1,2,-,3,8,-,1,-,-,2,-,-,34,152,-,781,16,620700000,,,,
3,Maret,6,3,-,1,-,1,1,-,-,4,-,2,3,-,1,-,-,1,1,-,37,188,-,565,15,515500000,,,,
4,April,9,5,-,-,-,-,4,1,-,6,-,2,8,-,-,-,-,4,-,-,39,76,-,1036,19,376500000,,,,
5,Mei ,8,4,-,1,-,1,2,2,-,5,1,-,12,-,1,-,-,3,-,1,49,184,-,1284,27,435000000,,,,
6,Juni,3,2,-,-,-,-,1,-,-,1,-,2,2,-,-,-,-,1,-,-,18,132,-,1230,3,265000000,,,,
7,Juli,14,6,-,2,1,3,2,2,-,2,-,10,10,-,1,1,-,3,-,-,77,208,-,2233,30,764500000,,,,
8,Agustus,14,6,-,4,-,1,3,1,-,8,-,5,8,-,4,-,-,3,-,-,88,396,-,3137,42,1130000000,,,,
9,September,25,17,2,1,-,1,4,2,-,13,1,9,22,19,2,-,-,4,1,8,119,680,-,2578,75,851200000,,,,
10,Oktober,15,4,-,2,-,2,7,1,1,7,-,6,21,-,2,-,-,6,-,-,70,264,-,3563,45,2782700000,,,,
11,November,4,3,-,-,-,-,1,2,-,1,-,1,4,-,-,-,-,1,-,-,23,44,-,250,12,132000000,,,,
12,Desember,11,3,-,4,-,3,1,1,1,3,-,6,9,-,4,-,-,2,-,-,58,174,-,2454,25,332500000,,,,
