No,Bulan,Jumlah Kebakaran,PBK (BP),PBK (PSR),PBK (BI),PBK (SC),PBK (BU),PBK (LN),PK (KP),PK (LP),PK (LS),PK (RK),PK (LN),JT (BP),JT (KIOS),JT (BI),JT (SC),JT (BU),JT (LN),Korban (MT),Korban (LK),Mobil Bertugas,Penggunaan Air PDAM (m3),Penggunaan Air Lain (m3),Areal Kebakaran (m2),Bangunan Terselamatkan,Taksiran Kerugian (Rp),,
1,Januari,10,6,-,1,-,3,-,-,-,8,-,2,12,-,1,-,-,-,-,-,60,224,-,180,19,810000000,,
2,Februari,8,4,-,1,-,2,1,-,-,3,1,4,14,-,1,-,-,1,-,-,58,200,-,622,15,595500000,,
3,Maret,13,8,-,-,-,3,2,1,-,2,-,10,23,-,-,-,-,2,-,1,68,556,-,1263,25,766000000,,
4,April,9,6,-,1,-,-,2,-,-,5,1,3,6,2,1,-,-,3,-,-,41,156,-,538,14,546000000,,
5,Mei ,8,1,-,1,1,2,4,1,-,3,1,3,1,-,1,,-,4,-,-,32,48,-,269,6,156000000,,
6,Juni,13,5,-,1,-,3,1,3,-,2,-,8,5,-,2,-,-,4,-,-,60,176,-,1817,10,1034000000,,
7,Juli,7,3,-,-,-,4,-,1,-,4,-,2,3,1,-,-,-,-,-,-,39,192,-,707,11,372000000,,
8,Agustus,15,7,-,1,-,3,4,1,-,6,-,9,22,2,1,-,-,9,-,-,70,206,-,2419,16,1391000000,,
9,September,16,6,-,3,-,3,4,-,-,9,1,8,8,1,3,-,-,5,1,-,80,628,-,1264,18,16697000000,,
10,Oktober,18,11,-,-,-,4,3,1,1,6,1,10,14,2,-,-,-,3,-,-,73,276,-,1023,24,916000000,,
11,November,6,2,-,1,-,-,3,3,-,2,-,1,4,-,1,-,-,3,-,2,26,104,-,533,5,498000000,,
12,Desember,8,4,-,-,-,4,-,-,-,4,-,4,15,7,-,-,-,-,-,-,50,176,1232,2979,14,3575000000,,
