No,Bulan,Jumlah Kebakaran,PBK (BP),PBK (PSR),PBK (BI),PBK (SC),PBK (BU),PBK (LN),PK (KP),PK (LP),PK (LS),PK (RK),PK (LN),JT (BP),JT (KIOS),JT (BI),JT (SC),JT (BU),JT (LN),Korban (MT),Korban (LK),Mobil Bertugas,Penggunaan Air PDAM (m3),Penggunaan Air Lain (m3),Areal Kebakaran (m2),Bangunan Terselamatkan,Taksiran Kerugian (Rp),,,
1,Januari,19,5,-,-,-,6,8,2,-,5,-,12,6,7,-,-,6,-,-,-,125,356,-,6493,10,5535500000,,,
2,Februari,15,5,-,-,-,3,7,6,-,4,-,5,7,-,-,-,3,7,-,-,68,212,-,706,10,2048500000,,,
3,Maret,15,7,1,-,-,3,4,2,-,5,-,8,10,6,-,-,3,4,-,-,79,232,-,1298,14,3630000000,,,
4,April,13,6,-,-,-,1,6,1,-,8,-,4,6,-,-,-,1,6,-,-,56,130,-,416,14,1605500000,,,
5,Mei ,9,4,-,-,-,5,4,-,-,6,-,3,11,-,-,-,5,4,-,-,61,248,-,1967,26,6890000000,,,
6,Juni,18,9,-,-,-,5,4,2,-,10,-,6,9,-,-,-,5,5,1,-,87,330,-,1718,13,3774000000,,,
7,Juli,19,6,-,-,1,3,9,4,-,4,-,11,6,9,-,1,3,7,1,6,131,360,-,8584,16,10058500000,,,
8,Agustus,20,9,-,1,-,2,8,1,-,2,-,17,10,-,1,-,9,8,-,1,103,348,-,6963,16,2961200000,,,
9,September,32,10,-,2,-,5,15,6,-,5,-,21,11,6,2,-,5,15,2,-,155,366,-,4735,30,5593000000,,,
10,Oktober,11,7,-,1,-,1,2,2,-,6,-,3,16,-,1,-,1,2,-,8,68,260,-,6504,16,6646000000,,,
11,November,11,4,1,1,-,-,5,1,-,6,-,4,3,3,1,-,-,14,1,-,50,254,40,1548,19,2308000000,,,
12,Desember,16,4,2,-,-,6,4,3,-,7,-,6,4,43,-,-,6,10,-,3,105,220,-,2263,26,2583000000,,,
