No,Bulan,Jumlah Kebakaran,PBK (BP),PBK (PSR),PBK (BI),PBK (SC),PBK (BU),PBK (LN),PK (KP),PK (LP),PK (LS),PK (RK),PK (LN),JT (BP),JT (KIOS),JT (BI),JT (SC),JT (BU),JT (LN),Korban (MT),Korban (LK),Mobil Bertugas,Penggunaan Air PDAM (m3),Penggunaan Air Lain (m3),Areal Kebakaran (m2),Bangunan Terselamatkan,Taksiran Kerugian (Rp)
1,Januari,10.00,3.00,-,-,-,4.00,3.00,-,-,-,-,10.00,3.00,-,-,-,7.00,5.00,-,-,45.00,120,-,1180,17,1141000000
2,Februari,12.00,6.00,1.00,-,-,4.00,1.00,2.00,1.00,4.00,-,5.00,3.00,1.00,-,-,3.00,5.00,-,2.00,70.00,220,-,1479,4,1540000000
3,Maret,14.00,8.00,-,-,-,1.00,5.00,2.00,-,4.00,-,8.00,7.00,-,-,-,1.00,9.00,-,1.00,56.00,140,-,524,17,1035000000
4,April,16.00,8.00,-,-,-,2.00,6.00,7.00,-,5.00,-,4.00,9.00,-,-,-,2.00,5.00,-,2.00,49.00,60,-,528,23,232200000
5,Mei ,13.00,6.00,1.00,-,-,3.00,3.00,3.00,-,2.00,-,8.00,6.00,253.00,-,-,2.00,4.00,-,51.00,85.00,260,40,7253,15,7476000000
6,Juni,26.00,10.00,1.00,1.00,-,5.00,9.00,2.00,-,5.00,1.00,18.00,6.00,82.00,1.00,-,3.00,4.00,6.00,2.00,131.00,160,-,2695,39,2039000000
7,Juli,16.00,6.00,-,1.00,-,4.00,5.00,2.00,-,1.00,1.00,12.00,8.00,13.00,1.00,-,6.00,30.00,1.00,-,91.00,208,-,8051,26,4601500000
8,Agustus,43.00,12.00,-,-,-,13.00,18.00,3.00,1.00,7.00,-,32.00,9.00,-,-,-,5.00,15.00,-,3.00,93.00,280,-,3487,33,2987500000
9,September,39.00,13.00,-,-,-,6.00,20.00,3.00,-,7.00,1.00,28.00,15.00,-,-,-,11.00,40.00,-,5.00,209.00,576,-,7867,63,7339000000
10,Oktober,51.00,13.00,-,1.00,-,5.00,32.00,3.00,-,3.00,-,45.00,23.00,10.00,1.00,-,2.00,35.00,-,13.00,243.00,676,-,26414,104,8882500000
11,November,19.00,8.00,-,-,-,2.00,9.00,-,1.00,7.00,-,11.00,8.00,-,-,-,1.00,13.00,-,1.00,69.00,128,-,884,25,1955000000
12,Desember,13.00,6.00,-,-,-,2.00,5.00,1.00,-,4.00,-,8.00,16.00,2.00,-,-,-,5.00,-,2.00,46.00,72,-,667,14,1975000000
